chr	start	end	size	dataset
chr6	130525181	130535874	10693	Chaisson et al
chr6	131563647	131563962	315	Chaisson et al
chr6	167194362	167358477	164115	Chaisson et al
chr6	168390177	168393080	2903	Chaisson et al
chr6	168692356	168695795	3439	Chaisson et al
chr7	5906707	5978872	72165	Chaisson et al
chr7	5978874	6747083	768209	Chaisson et al
chr7	40833456	40842024	8568	Chaisson et al
chr7	47613072	47616567	3495	Chaisson et al
chr7	54231737	54316407	84670	Chaisson et al
chr7	56937311	57086047	148736	Chaisson et al
chr7	57777902	58068779	290877	Chaisson et al
chr7	60881137	61282510	401373	Chaisson et al
chr7	61579455	61816965	237510	Chaisson et al
chr7	62156625	62233976	77351	Chaisson et al
chr7	62291688	62373989	82301	Chaisson et al
chr7	62408542	62456778	48236	Chaisson et al
chr7	62408577	62456778	48201	Chaisson et al
chr7	63367442	63382454	15012	Chaisson et al
chr7	63487699	63651382	163683	Chaisson et al
chr7	65120279	65503542	383263	Chaisson et al
chr7	65514658	65525344	10686	Chaisson et al
chr7	65784435	65822291	37856	Chaisson et al
chr7	70954996	70974536	19540	Chaisson et al
chr7	72949859	75422553	2472694	Chaisson et al
chr7	97436188	97461596	25408	Chaisson et al
chr7	107418031	107423297	5266	Chaisson et al
chr7	129178544	129181125	2581	Chaisson et al
chr7	143711190	143772948	61758	Chaisson et al
chr7	150000281	150005158	4877	Chaisson et al
chr7	151312948	151315017	2069	Chaisson et al
chr7	152376994	152404346	27352	Chaisson et al
chr8	2250154	2479751	229597	Chaisson et al
chr8	6296725	6300914	4189	Chaisson et al
chr8	7765525	7912385	146860	Chaisson et al
chr8	8196161	8230466	34305	Chaisson et al
chr8	8230468	12095842	3865374	Chaisson et al
chr8	12112922	12157552	44630	Chaisson et al
chr8	12158093	12226511	68418	Chaisson et al
chr8	12284715	12327290	42575	Chaisson et al
chr8	12327903	12393421	65518	Chaisson et al
chr8	12433930	12602620	168690	Chaisson et al
chr8	85734618	85741914	7296	Chaisson et al
chr8	85737427	85742425	4998	Chaisson et al
chr8	102423261	102423781	520	Chaisson et al
chr8	137117242	137120366	3124	Chaisson et al
chr9	29592379	29592469	90	Chaisson et al
chr9	30951219	30957634	6415	Chaisson et al
chr9	38967861	39112281	144420	Chaisson et al
chr9	39473588	39822325	348737	Chaisson et al
chr9	39822327	40678269	855942	Chaisson et al
chr9	40691369	40868523	177154	Chaisson et al
chr9	40868525	41128923	260398	Chaisson et al
chr9	41217025	41223133	6108	Chaisson et al
chr9	41217026	41223570	6544	Chaisson et al
chr9	41249740	41253455	3715	Chaisson et al
chr9	41768334	42093866	325532	Chaisson et al
chr9	42233872	42273599	39727	Chaisson et al
chr9	42273791	42294357	20566	Chaisson et al
chr9	42321112	42416141	95029	Chaisson et al
chr9	42420194	42574060	153866	Chaisson et al
chr9	42612724	42672932	60208	Chaisson et al
chr9	61128340	61231967	103627	Chaisson et al
chr9	61785368	62149739	364371	Chaisson et al
chr9	62420001	62487139	67138	Chaisson et al
chr9	62814084	62818553	4469	Chaisson et al
chr9	62814090	62818551	4461	Chaisson et al
chr9	63252862	63392265	139403	Chaisson et al
chr9	63800001	63801559	1558	Chaisson et al
chr9	64724183	65025124	300941	Chaisson et al
chr9	65645191	66183068	537877	Chaisson et al
chr9	66591387	67320553	729166	Chaisson et al
chr9	74283190	74283486	296	Chaisson et al
chr9	80700912	80701019	107	Chaisson et al
chr9	86540927	86541018	91	Chaisson et al
chr9	87918874	88139672	220798	Chaisson et al
chr9	102565089	102570284	5195	Chaisson et al
chr9	105053366	105056276	2910	Chaisson et al
chr9	113104588	113119860	15272	Chaisson et al
chrX	6218929	6220353	1424	Chaisson et al
chrX	43989014	43993912	4898	Chaisson et al
chrX	48396037	48399308	3271	Chaisson et al
chrX	51669469	51713883	44414	Chaisson et al
chrX	52070847	52192188	121341	Chaisson et al
chrX	52489201	52533696	44495	Chaisson et al
chrX	52907445	52977241	69796	Chaisson et al
chrX	55464229	55511347	47118	Chaisson et al
chrX	63182029	63198950	16921	Chaisson et al
chrX	67415258	67518902	103644	Chaisson et al
chrX	72855897	72874910	19013	Chaisson et al
chrX	73004367	73079523	75156	Chaisson et al
chrX	76141674	76153292	11618	Chaisson et al
chrX	101597522	101616276	18754	Chaisson et al
chrX	102259696	102405716	146020	Chaisson et al
chrX	103977469	104062961	85492	Chaisson et al
chrX	106266661	106299614	32953	Chaisson et al
chrX	120075637	120172547	96910	Chaisson et al
chrX	135147415	135225242	77827	Chaisson et al
chrX	135623456	135670276	46820	Chaisson et al
chrX	135713409	135798324	84915	Chaisson et al
chrX	149591230	149663655	72425	Chaisson et al
chrX	149671972	149735388	63416	Chaisson et al
chrX	149742318	149776625	34307	Chaisson et al
chrX	152705955	152752524	46569	Chaisson et al
chrX	153066014	153084051	18037	Chaisson et al
chrX	153121931	153292732	170801	Chaisson et al
chrX	154346996	154385012	38016	Chaisson et al
chrX	154581225	154633196	51971	Chaisson et al
chr1	10978049	10978251	202	dbVar
chr1	11346513	11346565	52	dbVar
chr1	12798805	13135851	337046	dbVar
chr1	12819832	13098411	278579	dbVar
chr1	12832043	13410165	578122	dbVar
chr1	12834901	13115875	280974	dbVar
chr1	12835301	13332535	497234	dbVar
chr1	12920687	13224571	303884	dbVar
chr1	12922457	13224571	302114	dbVar
chr1	12923261	13224571	301310	dbVar
chr1	12929523	13224571	295048	dbVar
chr1	13079915	13110766	30851	dbVar
chr1	13082187	13106969	24782	dbVar
chr1	13082233	13105692	23459	dbVar
chr1	13083210	13103672	20462	dbVar
chr1	13086336	13102158	15822	dbVar
chr1	13086337	13102010	15673	dbVar
chr1	13086932	13100760	13828	dbVar
chr1	13111870	13118774	6904	dbVar
chr1	13268714	13351159	82445	dbVar
chr1	16371220	16372080	860	dbVar
chr1	16498056	16915335	417279	dbVar
chr1	16506071	16951955	445884	dbVar
chr1	16516919	234817464	218300545	dbVar
chr1	16559079	16887861	328782	dbVar
chr1	16559350	16715785	156435	dbVar
chr1	16559460	16889381	329921	dbVar
chr1	16560072	16889034	328962	dbVar
chr1	16561870	16886061	324191	dbVar
chr1	16563034	16882048	319014	dbVar
chr1	16564155	16953401	389246	dbVar
chr1	16568648	16695588	126940	dbVar
chr1	16569250	16869192	299942	dbVar
chr1	16572746	16867987	295241	dbVar
chr1	16583163	16857087	273924	dbVar
chr1	16596842	16937819	340977	dbVar
chr1	16598309	16936226	337917	dbVar
chr1	16598310	16932548	334238	dbVar
chr1	16600002	16934585	334583	dbVar
chr1	16611169	16921194	310025	dbVar
chr1	16633682	16865881	232199	dbVar
chr1	16641207	16733522	92315	dbVar
chr1	16641641	16733079	91438	dbVar
chr1	16648908	16730542	81634	dbVar
chr1	16674307	16773011	98704	dbVar
chr1	16675440	16763694	88254	dbVar
chr1	16676324	16766237	89913	dbVar
chr1	16677941	16769741	91800	dbVar
chr1	16679982	16766118	86136	dbVar
chr1	16680915	16762994	82079	dbVar
chr1	16681981	16765078	83097	dbVar
chr1	17280945	17293582	12637	dbVar
chr1	20712587	20712715	128	dbVar
chr1	21013565	21013655	90	dbVar
chr1	21203888	21204734	846	dbVar
chr1	21203905	21204753	848	dbVar
chr1	21204121	21204891	770	dbVar
chr1	21427091	21480912	53821	dbVar
chr1	22431102	22431384	282	dbVar
chr1	25265296	25356221	90925	dbVar
chr1	25287879	25405617	117738	dbVar
chr1	25329029	25366712	37683	dbVar
chr1	25339111	25391733	52622	dbVar
chr1	26087187	26087643	456	dbVar
chr1	26597983	26646869	48886	dbVar
chr1	26599082	26647485	48403	dbVar
chr1	26601471	26646777	45306	dbVar
chr1	26602719	26647039	44320	dbVar
chr1	26639768	26646184	6416	dbVar
chr1	26640432	26646228	5796	dbVar
chr1	26640932	26685717	44785	dbVar
chr1	26641075	26685413	44338	dbVar
chr1	26641276	26648031	6755	dbVar
chr1	26641288	26686951	45663	dbVar
chr1	26641369	26686738	45369	dbVar
chr1	26641547	26647635	6088	dbVar
chr1	26644041	26682913	38872	dbVar
chr1	27201943	27202172	229	dbVar
chr1	27385953	27388054	2101	dbVar
chr1	27885450	27950417	64967	dbVar
chr1	28478477	28479627	1150	dbVar
chr1	30096591	30492520	395929	dbVar
chr1	30560950	30561259	309	dbVar
chr1	30871191	30871745	554	dbVar
chr1	31980914	31981391	477	dbVar
chr1	33224903	33244204	19301	dbVar
chr1	33232438	33244208	11770	dbVar
chr1	34707889	92992973	58285084	dbVar
chr1	35390261	35391057	796	dbVar
chr1	36267649	36269041	1392	dbVar
chr1	36574619	36579417	4798	dbVar
chr1	37093380	37094354	974	dbVar
chr1	37481455	37484570	3115	dbVar
chr1	39013828	39029489	15661	dbVar
chr1	39480082	39767433	287351	dbVar
chr1	39521910	39801618	279708	dbVar
chr1	39522816	39763408	240592	dbVar
chr1	39554450	39767521	213071	dbVar
chr1	39659066	39660098	1032	dbVar
chr1	40006933	40009437	2504	dbVar
chr1	41152417	41152805	388	dbVar
chr1	41948882	227625715	185676833	dbVar
chr1	42904560	42904884	324	dbVar
chr1	43162159	43162252	93	dbVar
chr1	43397422	43397625	203	dbVar
chr1	43593622	43594220	598	dbVar
chr1	43593625	43594215	590	dbVar
chr1	43593630	43594215	585	dbVar
chr1	43593656	43594214	558	dbVar
chr1	43916067	43919148	3081	dbVar
chr1	43916077	43917773	1696	dbVar
chr1	44356329	44357500	1171	dbVar
chr1	45551922	45552769	847	dbVar
chr1	46940078	47138846	198768	dbVar
chr1	48475247	48475627	380	dbVar
chr1	48475277	48475979	702	dbVar
chr1	48475290	48475572	282	dbVar
chr1	48802936	48803035	99	dbVar
chr1	50750970	50751165	195	dbVar
chr1	51039528	51039604	76	dbVar
chr1	51881919	51886106	4187	dbVar
chr1	56365012	56377267	12255	dbVar
chr1	64372889	64389962	17073	dbVar
chr1	65732536	65732858	322	dbVar
chr1	65732654	65733005	351	dbVar
chr1	66986507	66986782	275	dbVar
chr1	66986680	66987090	410	dbVar
chr1	67266654	71123544	3856890	dbVar
chr1	71126895	71144065	17170	dbVar
chr1	71675121	71677657	2536	dbVar
chr1	71942470	72051632	109162	dbVar
chr1	72130727	72131775	1048	dbVar
chr1	73140535	73140834	299	dbVar
chr1	74861324	74861802	478	dbVar
chr1	74861426	74861825	399	dbVar
chr1	79711591	79711673	82	dbVar
chr1	80328940	80329422	482	dbVar
chr1	80329136	80329565	429	dbVar
chr1	81144518	104396248	23251730	dbVar
chr1	81194663	81195873	1210	dbVar
chr1	81194664	81195872	1208	dbVar
chr1	81194666	81195870	1204	dbVar
chr1	81567844	81578682	10838	dbVar
chr1	82025459	83363213	1337754	dbVar
chr1	82585479	82668966	83487	dbVar
chr1	82625660	82625722	62	dbVar
chr1	82669638	82674171	4533	dbVar
chr1	83289840	83297885	8045	dbVar
chr1	84848722	86345988	1497266	dbVar
chr1	85804439	85804522	83	dbVar
chr1	85911248	173417312	87506064	dbVar
chr1	89219135	91269986	2050851	dbVar
chr1	91040251	91040331	80	dbVar
chr1	91079145	91079215	70	dbVar
chr1	92796716	92796799	83	dbVar
chr1	92796728	92796800	72	dbVar
chr1	93757526	113089991	19332465	dbVar
chr1	96992717	96993027	310	dbVar
chr1	101552560	101552654	94	dbVar
chr1	101553904	101553968	64	dbVar
chr1	102426763	102504655	77892	dbVar
chr1	103610986	103627929	16943	dbVar
chr1	103627929	103761523	133594	dbVar
chr1	104037862	104039360	1498	dbVar
chr1	104251839	104253612	1773	dbVar
chr1	104562271	104562338	67	dbVar
chr1	107907393	107916239	8846	dbVar
chr1	108181930	108469429	287499	dbVar
chr1	108224909	108483838	258929	dbVar
chr1	108292448	108401930	109482	dbVar
chr1	112104739	112104838	99	dbVar
chr1	112663480	112663920	440	dbVar
chr1	113640900	113640952	52	dbVar
chr1	114103336	114111745	8409	dbVar
chr1	114304109	114304615	506	dbVar
chr1	115577203	115577929	726	dbVar
chr1	118538435	118538531	96	dbVar
chr1	118949873	118950893	1020	dbVar
chr1	119965322	120780185	814863	dbVar
chr1	119991228	120820716	829488	dbVar
chr1	120175847	149601750	29425903	dbVar
chr1	120320049	120942315	622266	dbVar
chr1	121742792	121742856	64	dbVar
chr1	125085511	144884066	19798555	dbVar
chr1	143304723	144791518	1486795	dbVar
chr1	143334698	144934566	1599868	dbVar
chr1	143398568	143482303	83735	dbVar
chr1	143511409	149082254	5570845	dbVar
chr1	143939415	145135276	1195861	dbVar
chr1	144536526	146453473	1916947	dbVar
chr1	145187602	149558940	4371338	dbVar
chr1	145215697	148492647	3276950	dbVar
chr1	145262746	148534547	3271801	dbVar
chr1	145337787	149064435	3726648	dbVar
chr1	145386563	148492647	3106084	dbVar
chr1	145430980	148034636	2603656	dbVar
chr1	145601946	146944906	1342960	dbVar
chr1	146501867	146966240	464373	dbVar
chr1	147105369	147105855	486	dbVar
chr1	147230616	147346504	115888	dbVar
chr1	147920169	147920449	280	dbVar
chr1	148234206	148492647	258441	dbVar
chr1	148280766	148303404	22638	dbVar
chr1	148282200	148340425	58225	dbVar
chr1	148282681	148342138	59457	dbVar
chr1	148287700	148340935	53235	dbVar
chr1	148303473	148303538	65	dbVar
chr1	148915410	149119867	204457	dbVar
chr1	148917461	149119867	202406	dbVar
chr1	148920963	149119867	198904	dbVar
chr1	148923931	149119867	195936	dbVar
chr1	149343658	149361959	18301	dbVar
chr1	149558940	149672950	114010	dbVar
chr1	149801682	149850045	48363	dbVar
chr1	149803380	149849423	46043	dbVar
chr1	149805578	149848542	42964	dbVar
chr1	149843353	149894958	51605	dbVar
chr1	149843518	149850294	6776	dbVar
chr1	149843543	149889935	46392	dbVar
chr1	151998767	152000024	1257	dbVar
chr1	152805504	152827444	21940	dbVar
chr1	153050713	153050805	92	dbVar
chr1	153470551	153537401	66850	dbVar
chr1	153756744	153756798	54	dbVar
chr1	153971025	153971104	79	dbVar
chr1	156253235	186441949	30188714	dbVar
chr1	156338649	156344768	6119	dbVar
chr1	157378589	157488081	109492	dbVar
chr1	157917432	157918082	650	dbVar
chr1	159458825	159525200	66375	dbVar
chr1	160408732	160409880	1148	dbVar
chr1	160770526	161441931	671405	dbVar
chr1	161471521	161592084	120563	dbVar
chr1	161493524	166518260	5024736	dbVar
chr1	162679292	162679391	99	dbVar
chr1	162750036	162809097	59061	dbVar
chr1	163597382	163597649	267	dbVar
chr1	166707104	170282226	3575122	dbVar
chr1	167030688	167031032	344	dbVar
chr1	168119201	168119287	86	dbVar
chr1	168543248	168578925	35677	dbVar
chr1	168544164	168576454	32290	dbVar
chr1	174583773	174596987	13214	dbVar
chr1	174847714	174905375	57661	dbVar
chr1	175996261	176004500	8239	dbVar
chr1	179850073	179850275	202	dbVar
chr1	180540211	181074941	534730	dbVar
chr1	181074803	181074937	134	dbVar
chr1	182900726	182901286	560	dbVar
chr1	183148876	183149848	972	dbVar
chr1	183338948	183340742	1794	dbVar
chr1	183789833	183789899	66	dbVar
chr1	185620014	185620100	86	dbVar
chr1	186856976	186857292	316	dbVar
chr1	186981654	186982035	381	dbVar
chr1	187495678	187497591	1913	dbVar
chr1	187495696	187497595	1899	dbVar
chr1	187495697	187497600	1903	dbVar
chr1	187497346	187497595	249	dbVar
chr1	187497356	187497594	238	dbVar
chr1	188259453	188259745	292	dbVar
chr1	188847722	188847787	65	dbVar
chr1	188847773	188847826	53	dbVar
chr1	189938016	189962064	24048	dbVar
chr1	190775372	190775921	549	dbVar
chr1	191089656	191089725	69	dbVar
chr1	191283084	191302581	19497	dbVar
chr1	191317438	191338420	20982	dbVar
chr1	192297585	192297855	270	dbVar
chr1	192830282	193074015	243733	dbVar
chr1	193345327	193346131	804	dbVar
chr1	193346347	193347225	878	dbVar
chr1	194669489	194669599	110	dbVar
chr1	194669501	194669820	319	dbVar
chr1	196613245	196630743	17498	dbVar
chr1	197787659	197788856	1197	dbVar
chr1	199394652	199394721	69	dbVar
chr1	201816012	201816114	102	dbVar
chr1	201837248	201837327	79	dbVar
chr1	202388430	202388916	486	dbVar
chr1	203289051	203289432	381	dbVar
chr1	203688270	203688334	64	dbVar
chr1	205209398	205209679	281	dbVar
chr1	205209478	205209646	168	dbVar
chr1	205209479	205209706	227	dbVar
chr1	205209543	205209646	103	dbVar
chr1	205209642	205209903	261	dbVar
chr1	205275484	205282169	6685	dbVar
chr1	207119002	207119085	83	dbVar
chr1	207119014	207119083	69	dbVar
chr1	207515128	207515196	68	dbVar
chr1	208792980	208800515	7535	dbVar
chr1	209058646	209062705	4059	dbVar
chr1	215515570	215517938	2368	dbVar
chr1	219022574	219022849	275	dbVar
chr1	224196097	224198248	2151	dbVar
chr1	224906843	224908099	1256	dbVar
chr1	225227402	225229778	2376	dbVar
chr1	227466862	227496423	29561	dbVar
chr1	231066834	231067269	435	dbVar
chr1	231183705	231183993	288	dbVar
chr1	231183711	231183949	238	dbVar
chr1	232368137	232368225	88	dbVar
chr1	232792392	232792454	62	dbVar
chr1	236590626	236592655	2029	dbVar
chr1	237402758	237402907	149	dbVar
chr1	237402803	237402907	104	dbVar
chr1	237402806	237402904	98	dbVar
chr1	237402816	237402906	90	dbVar
chr1	237474201	237474296	95	dbVar
chr1	238263742	238263833	91	dbVar
chr1	239279641	239279893	252	dbVar
chr1	239288657	239291239	2582	dbVar
chr1	239952707	239953529	822	dbVar
chr1	239952717	239953080	363	dbVar
chr1	239952813	239953039	226	dbVar
chr1	239952907	239953523	616	dbVar
chr1	239952938	239953612	674	dbVar
chr1	241432121	241433252	1131	dbVar
chr1	241935732	241935850	118	dbVar
chr1	242030743	242031020	277	dbVar
chr1	242192966	242193279	313	dbVar
chr1	244929988	244935617	5629	dbVar
chr1	244930205	244935353	5148	dbVar
chr1	246980922	246981019	97	dbVar
chr1	247085735	247114269	28534	dbVar
chr1	247127804	247128114	310	dbVar
chr1	247128053	247170381	42328	dbVar
chr1	247129683	247169561	39878	dbVar
chr1	247170326	247170637	311	dbVar
chr1	248098735	248422630	323895	dbVar
chr1	248116349	248550741	434392	dbVar
chr1	248367626	248441594	73968	dbVar
chr1	248410848	248642242	231394	dbVar
chr1	248431894	248660166	228272	dbVar
chr1	248433195	248658832	225637	dbVar
chr1	248433554	248621448	187894	dbVar
chr1	248440339	248565561	125222	dbVar
chr1	248446791	248602246	155455	dbVar
chr1	248450257	248602693	152436	dbVar
chr1	248452722	248597688	144966	dbVar
chr1	248461015	248670089	209074	dbVar
chr1	248463617	248667240	203623	dbVar
chr1	248465111	248549252	84141	dbVar
chr1	248468630	248639328	170698	dbVar
chr1	248473976	248654587	180611	dbVar
chr1	248485561	248523723	38162	dbVar
chr1	248492795	248591869	99074	dbVar
chr1	248525692	248560733	35041	dbVar
chr10	571050	579119	8069	dbVar
chr10	940869	941829	960	dbVar
chr10	1086935	1090018	3083	dbVar
chr10	1193189	1203574	10385	dbVar
chr10	1225896	1244994	19098	dbVar
